#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
800,3,0.0001,0.0012,-1,0,0,14
800,8,0.0001,0.0012,-1,0,0,14
800,3,0.0001,0.0016,1,14,0,14
800,8,0.0001,0.0016,1,14,0,14
800,3,0.0001,0.0016,0,0,14,14
800,8,0.0001,0.0016,0,0,14,14
800,3,0.0001,0.0016,-1,0,2,14
800,8,0.0001,0.0016,-1,0,0,14
800,3,0.0001,0.002,1,14,0,14
800,8,0.0001,0.002,1,14,0,14
800,3,0.0001,0.002,0,1,13,14
800,8,0.0001,0.002,0,0,14,14
800,3,0.0001,0.002,-1,1,0,14
800,8,0.0001,0.002,-1,0,0,14
800,3,0.0001,0.0024,1,14,0,14
800,8,0.0001,0.0024,1,14,0,14
800,3,0.0001,0.0024,0,0,14,14
800,8,0.0001,0.0024,0,1,13,14
800,3,0.0001,0.0024,-1,1,1,14
800,8,0.0001,0.0024,-1,1,0,14
800,4,0.0001,0.0004,1,14,0,14
800,9,0.0001,0.0004,1,14,0,14
800,4,0.0001,0.0004,0,0,6,14
800,9,0.0001,0.0004,0,0,4,14
800,4,0.0001,0.0004,-1,0,0,14
800,9,0.0001,0.0004,-1,0,1,14
800,4,0.0001,0.0008,1,14,0,14
800,9,0.0001,0.0008,1,14,0,14
800,4,0.0001,0.0008,0,1,9,14
800,9,0.0001,0.0008,0,0,11,14
800,4,0.0001,0.0008,-1,0,0,14
800,9,0.0001,0.0008,-1,0,0,14
800,4,0.0001,0.0012,1,14,0,14
800,9,0.0001,0.0012,1,14,0,14
800,4,0.0001,0.0012,0,1,13,14
800,9,0.0001,0.0012,0,0,13,14
800,4,0.0001,0.0012,-1,0,1,14
800,9,0.0001,0.0012,-1,0,0,14
800,4,0.0001,0.0016,1,14,0,14
800,9,0.0001,0.0016,1,14,0,14
800,4,0.0001,0.0016,0,0,14,14
800,9,0.0001,0.0016,0,0,14,14
800,4,0.0001,0.0016,-1,0,0,14
800,9,0.0001,0.0016,-1,0,1,14
800,4,0.0001,0.002,1,14,0,14
800,9,0.0001,0.002,1,14,0,14
800,4,0.0001,0.002,0,0,14,14
800,9,0.0001,0.002,0,0,14,14
800,4,0.0001,0.002,-1,0,0,14
800,9,0.0001,0.002,-1,0,0,14
800,4,0.0001,0.0024,1,14,0,14
800,9,0.0001,0.0024,1,14,0,14
800,4,0.0001,0.0024,0,0,14,14
800,9,0.0001,0.0024,0,0,14,14
800,4,0.0001,0.0024,-1,0,0,14
800,9,0.0001,0.0024,-1,0,0,14
