#flows,epsilon,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
1200,0.4,0,0,14,14
1200,0.1,1,14,0,14
1200,0.4,-1,0,5,14
1200,0.1,0,0,14,14
1200,0.0001,1,14,0,14
1200,0.1,-1,1,0,14
1200,0.0001,0,0,14,14
1200,0.2,1,14,0,14
1200,0.0001,-1,0,0,14
1200,0.2,0,0,14,14
1200,0.001,1,14,0,14
1200,0.2,-1,0,4,14
1200,0.001,0,0,14,14
1200,0.4,1,14,0,14
1200,0.001,-1,0,0,14
1200,0.4,0,1,13,14
1200,0.01,1,14,0,14
1200,0.4,-1,1,5,14
1200,0.01,0,0,14,14
1200,0.01,-1,0,0,14
1200,0.1,1,14,0,14
1200,0.1,0,0,14,14
1200,0.1,-1,0,1,14
1200,0.2,1,13,1,14
1200,0.2,0,0,14,14
1200,0.2,-1,0,0,14
1200,0.4,1,14,0,14
1200,0.4,0,0,14,14
1200,0.4,-1,0,4,14
1200,0.0001,1,14,0,14
1200,0.0001,0,0,14,14
1200,0.0001,-1,0,0,14
1200,0.001,1,14,0,14
1200,0.001,0,0,14,14
1200,0.001,-1,0,0,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.01,-1,1,0,14
1200,0.1,1,13,1,14
1200,0.1,0,0,14,14
1200,0.1,-1,0,0,14
1200,0.2,1,14,0,14
1200,0.2,0,0,14,14
1200,0.2,-1,0,1,14
1200,0.4,1,13,1,14
1200,0.4,0,0,14,14
1200,0.4,-1,1,5,14
1200,0.0001,1,14,0,14
1200,0.0001,0,0,14,14
1200,0.0001,-1,0,0,14
1200,0.001,1,14,0,14
1200,0.001,0,0,14,14
1200,0.001,-1,0,0,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.01,-1,0,0,14
1200,0.1,1,14,0,14
1200,0.1,0,0,14,14
1200,0.1,-1,0,1,14
1200,0.2,1,14,0,14
1200,0.2,0,0,14,14
1200,0.2,-1,0,3,14
1200,0.4,1,14,0,14
1200,0.4,0,0,14,14
1200,0.4,-1,0,5,14
1200,0.0001,1,14,0,14
1200,0.0001,0,0,14,14
1200,0.0001,-1,0,0,14
1200,0.001,1,14,0,14
1200,0.001,0,1,13,14
1200,0.001,-1,0,0,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.01,-1,0,1,14
1200,0.1,1,14,0,14
1200,0.1,0,0,14,14
1200,0.1,-1,0,0,14
1200,0.2,1,14,0,14
1200,0.2,0,1,13,14
1200,0.2,-1,0,3,14
1200,0.4,1,14,0,14
1200,0.4,0,0,14,14
1200,0.4,-1,0,5,14
1200,0.0001,1,14,0,14
1200,0.0001,0,0,14,14
1200,0.0001,-1,0,0,14
1200,0.001,1,14,0,14
1200,0.001,0,0,14,14
1200,0.001,-1,0,0,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.01,-1,0,0,14
1200,0.1,1,14,0,14
1200,0.1,0,0,14,14
1200,0.1,-1,0,1,14
1200,0.2,1,14,0,14
1200,0.2,0,0,14,14
1200,0.2,-1,0,2,14
1200,0.4,1,14,0,14
1200,0.4,0,0,14,14
1200,0.4,-1,1,5,14
1200,0.0001,1,14,0,14
1200,0.0001,0,1,13,14
1200,0.0001,-1,0,0,14
1200,0.001,1,14,0,14
1200,0.001,0,0,14,14
1200,0.001,-1,0,0,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.01,-1,1,0,14
1200,0.1,1,14,0,14
1200,0.1,0,0,14,14
1200,0.1,-1,1,1,14
1200,0.2,1,14,0,14
1200,0.2,0,0,14,14
1200,0.2,-1,0,4,14
1200,0.4,1,14,0,14
1200,0.4,0,0,14,14
1200,0.4,-1,0,6,14
1200,0.0001,1,14,0,14
1200,0.0001,0,0,14,14
1200,0.0001,-1,0,0,14
1200,0.001,1,14,0,14
1200,0.001,0,0,14,14
1200,0.001,-1,0,0,14
1200,0.01,1,13,1,14
1200,0.01,0,0,14,14
1200,0.01,-1,0,0,14
1200,0.1,1,14,0,14
1200,0.1,0,0,14,14
1200,0.1,-1,0,1,14
1200,0.2,1,14,0,14
1200,0.2,0,0,14,14
1200,0.2,-1,0,1,14
1200,0.4,1,14,0,14
1200,0.4,0,0,14,14
1200,0.4,-1,0,5,14
1200,0.0001,1,14,0,14
1200,0.0001,0,0,14,14
1200,0.0001,-1,0,0,14
1200,0.001,1,14,0,14
1200,0.001,0,0,14,14
1200,0.001,-1,0,0,14
1200,0.01,1,14,0,14
1200,0.01,0,0,14,14
1200,0.01,-1,0,0,14
1200,0.1,1,14,0,14
1200,0.1,0,0,14,14
1200,0.1,-1,0,1,14
1200,0.2,1,14,0,14
1200,0.2,0,1,13,14
1200,0.2,-1,0,0,14
1200,0.4,1,14,0,14
1200,0.4,0,0,14,14
1200,0.4,-1,0,6,14
