#flows,iteration,r_threshold,imr_threshold,p_t,topk,is_correlated,#case_detect,len(class_dict)
2000,1,0.2,0.1,0.1,2,1,1,1
2000,1,0.2,0.1,0.1,2,0,1,1
2000,1,0.2,0.1,0.1,2,0,1,1
2000,1,0.2,0.1,0.1,2,1,1,1
2000,1,0.2,0.1,0.1,2,0,1,1
2000,1,0.2,0.1,0.1,2,0,0,1
2000,1,0.2,0.1,0.1,2,1,1,1
2000,1,0.2,0.1,0.1,2,0,1,1
2000,1,0.2,0.1,0.1,2,0,1,1
2000,1,0.2,0.1,0.1,2,1,1,1
2000,1,0.2,0.1,0.1,2,0,1,1
2000,1,0.2,0.1,0.1,2,0,0,1
2000,1,0.2,0.1,0.1,2,1,1,1
2000,1,0.2,0.1,0.1,2,0,1,1
2000,1,0.2,0.1,0.1,2,0,0,1
2000,1,0.2,0.1,0.1,2,1,1,1
2000,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,0,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,0,1
2500,1,0.2,0.1,0.1,2,0,0,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,0,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,0,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,0,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
2500,1,0.2,0.1,0.1,2,0,0,1
2500,1,0.2,0.1,0.1,2,1,1,1
2500,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,0,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,0,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,0,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,0,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3000,1,0.2,0.1,0.1,2,1,1,1
3000,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,0,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,0,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
3500,1,0.2,0.1,0.1,2,1,1,1
3500,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
4000,1,0.2,0.1,0.1,2,1,1,1
4000,1,0.2,0.1,0.1,2,0,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,1,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,1,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,0,0,1
500,2,0.2,0.1,0.1,2,1,1,1
500,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,1,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,1,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,0,0,1
1000,2,0.2,0.1,0.1,2,1,1,1
1000,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,0,1,1
1500,2,0.2,0.1,0.1,2,1,1,1
1500,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2000,2,0.2,0.1,0.1,2,0,0,1
2000,2,0.2,0.1,0.1,2,1,1,1
2000,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,0,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,0,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,0,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,0,1
2500,2,0.2,0.1,0.1,2,0,0,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,0,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
2500,2,0.2,0.1,0.1,2,1,1,1
2500,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3000,2,0.2,0.1,0.1,2,1,1,1
3000,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,0,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
3500,2,0.2,0.1,0.1,2,1,1,1
3500,2,0.2,0.1,0.1,2,0,1,1
4000,2,0.2,0.1,0.1,2,0,1,1
4000,2,0.2,0.1,0.1,2,1,1,1
4000,2,0.2,0.1,0.1,2,0,1,1
4000,2,0.2,0.1,0.1,2,0,1,1
4000,2,0.2,0.1,0.1,2,1,1,1
4000,2,0.2,0.1,0.1,2,0,1,1
4000,2,0.2,0.1,0.1,2,0,1,1
4000,2,0.2,0.1,0.1,2,1,1,1
4000,2,0.2,0.1,0.1,2,0,1,1
4000,2,0.2,0.1,0.1,2,0,1,1
4000,2,0.2,0.1,0.1,2,1,1,1
4000,2,0.2,0.1,0.1,2,0,1,1
4000,2,0.2,0.1,0.1,2,0,1,1
4000,2,0.2,0.1,0.1,2,1,1,1
4000,2,0.2,0.1,0.1,2,0,1,1
