#flows,epsilon,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
200,0.01,1,6,0,8
200,0.01,0,1,0,8
500,0.01,1,5,0,8
500,0.01,0,3,0,8
800,0.01,1,7,1,8
800,0.01,0,3,2,8
1100,0.01,1,6,1,8
1100,0.01,0,1,2,8
1400,0.01,1,7,0,8
1400,0.01,0,1,0,8
1700,0.01,1,8,0,8
1700,0.01,0,0,2,8
2000,0.01,1,7,1,8
2000,0.01,0,1,1,8
200,0.01,1,5,0,8
200,0.01,0,4,0,8
500,0.01,1,6,1,8
500,0.01,0,2,1,8
800,0.01,1,6,1,8
800,0.01,0,2,0,8
1100,0.01,1,6,2,8
1100,0.01,0,0,1,8
1400,0.01,1,7,0,8
1400,0.01,0,1,3,8
1700,0.01,1,8,0,8
1700,0.01,0,1,0,8
2000,0.01,1,8,0,8
2000,0.01,0,2,0,8
200,0.01,1,7,0,8
200,0.01,0,2,0,8
500,0.01,1,6,1,8
500,0.01,0,0,4,8
800,0.01,1,6,1,8
800,0.01,0,2,1,8
1100,0.01,1,6,2,8
1100,0.01,0,0,2,8
1400,0.01,1,7,0,8
1400,0.01,0,1,1,8
1700,0.01,1,8,0,8
1700,0.01,0,0,1,8
2000,0.01,1,8,0,8
2000,0.01,0,0,4,8
200,0.01,1,2,3,8
200,0.01,0,1,0,8
500,0.01,1,4,1,8
500,0.01,0,1,1,8
800,0.01,1,6,1,8
800,0.01,0,1,2,8
1100,0.01,1,6,1,8
1100,0.01,0,0,1,8
1400,0.01,1,6,0,8
1400,0.01,0,1,1,8
1700,0.01,1,7,0,8
1700,0.01,0,1,1,8
2000,0.01,1,8,0,8
2000,0.01,0,1,1,8
200,0.01,1,4,2,8
200,0.01,0,4,0,8
500,0.01,1,6,0,8
500,0.01,0,2,0,8
800,0.01,1,7,1,8
800,0.01,0,3,0,8
1100,0.01,1,6,1,8
1100,0.01,0,1,3,8
1400,0.01,1,6,1,8
1400,0.01,0,1,2,8
1700,0.01,1,8,0,8
1700,0.01,0,2,0,8
2000,0.01,1,8,0,8
2000,0.01,0,0,1,8
200,0.01,1,7,1,8
200,0.01,0,3,0,8
500,0.01,1,7,0,8
500,0.01,0,2,1,8
800,0.01,1,6,2,8
800,0.01,0,1,0,8
1100,0.01,1,6,0,8
1100,0.01,0,1,1,8
1400,0.01,1,7,0,8
1400,0.01,0,1,1,8
1700,0.01,1,8,0,8
1700,0.01,0,0,1,8
2000,0.01,1,8,0,8
2000,0.01,0,1,0,8
200,0.01,1,3,1,8
200,0.01,0,3,0,8
500,0.01,1,5,1,8
500,0.01,0,1,2,8
800,0.01,1,5,2,8
800,0.01,0,2,0,8
1100,0.01,1,6,0,8
1100,0.01,0,1,0,8
1400,0.01,1,7,1,8
1400,0.01,0,1,1,8
1700,0.01,1,8,0,8
1700,0.01,0,0,1,8
2000,0.01,1,7,0,8
2000,0.01,0,0,1,8
200,0.01,1,5,2,8
200,0.01,0,2,1,8
500,0.01,1,6,1,8
500,0.01,0,0,3,8
800,0.01,1,7,1,8
800,0.01,0,1,2,8
1100,0.01,1,7,0,8
1100,0.01,0,0,2,8
1400,0.01,1,7,0,8
1400,0.01,0,1,2,8
1700,0.01,1,7,1,8
1700,0.01,0,1,2,8
2000,0.01,1,8,0,8
2000,0.01,0,0,2,8
200,0.01,1,7,0,8
200,0.01,0,3,0,8
500,0.01,1,6,0,8
500,0.01,0,2,0,8
800,0.01,1,7,1,8
800,0.01,0,1,1,8
1100,0.01,1,6,1,8
1100,0.01,0,2,0,8
1400,0.01,1,7,0,8
1400,0.01,0,1,2,8
1700,0.01,1,8,0,8
1700,0.01,0,1,1,8
2000,0.01,1,8,0,8
2000,0.01,0,0,1,8
200,0.01,1,6,0,8
200,0.01,0,3,0,8
500,0.01,1,4,1,8
500,0.01,0,1,2,8
800,0.01,1,6,0,8
800,0.01,0,2,0,8
1100,0.01,1,6,1,8
1100,0.01,0,1,3,8
1400,0.01,1,8,0,8
1400,0.01,0,0,1,8
1700,0.01,1,7,0,8
1700,0.01,0,0,2,8
2000,0.01,1,7,0,8
2000,0.01,0,0,0,8
